id,sleep_date,total_sleep_records,total_minutes_asleep,total_time_in_bed,sleep_efficiency,type_of_sleeper
4558609924,2016-04-21,1,126,137,0.92,Restorative Sleeper
4558609924,2016-04-26,1,103,121,0.85,Average Sleeper
4558609924,2016-04-29,1,171,179,0.96,Restorative Sleeper
4558609924,2016-08-05,1,123,134,0.92,Restorative Sleeper
4702921684,2016-03-05,1,327,373,0.88,Average Sleeper
4702921684,2016-04-05,1,412,434,0.95,Restorative Sleeper
4702921684,2016-04-13,2,400,430,0.93,Restorative Sleeper
4702921684,2016-04-14,1,384,415,0.93,Restorative Sleeper
4702921684,2016-04-15,1,253,257,0.98,Restorative Sleeper
4702921684,2016-04-16,2,382,406,0.94,Restorative Sleeper
4702921684,2016-04-17,1,591,612,0.97,Restorative Sleeper
4702921684,2016-04-18,1,293,312,0.94,Restorative Sleeper
4702921684,2016-04-19,1,457,487,0.94,Restorative Sleeper
4702921684,2016-04-20,1,454,468,0.97,Restorative Sleeper
4702921684,2016-04-21,1,425,434,0.98,Restorative Sleeper
4702921684,2016-04-23,1,465,475,0.98,Restorative Sleeper
4702921684,2016-04-24,1,480,506,0.95,Restorative Sleeper
4702921684,2016-04-25,1,370,380,0.97,Restorative Sleeper
4702921684,2016-04-26,1,421,429,0.98,Restorative Sleeper
4702921684,2016-04-27,1,432,449,0.96,Restorative Sleeper
4702921684,2016-04-28,1,442,461,0.96,Restorative Sleeper
4702921684,2016-04-29,1,433,447,0.97,Restorative Sleeper
4702921684,2016-04-30,1,479,501,0.96,Restorative Sleeper
4702921684,2016-05-05,1,414,428,0.97,Restorative Sleeper
4702921684,2016-06-05,1,404,449,0.90,Average Sleeper
4702921684,2016-07-05,1,520,543,0.96,Restorative Sleeper
4702921684,2016-09-05,1,435,458,0.95,Restorative Sleeper
4702921684,2016-10-05,1,416,431,0.97,Restorative Sleeper
4702921684,2016-11-05,1,354,366,0.97,Restorative Sleeper
4702921684,2016-12-04,1,425,439,0.97,Restorative Sleeper
4702921684,2016-12-05,1,404,442,0.91,Restorative Sleeper
5553957443,2016-01-05,2,622,686,0.91,Restorative Sleeper
5553957443,2016-02-05,1,409,471,0.87,Average Sleeper
5553957443,2016-03-05,1,380,429,0.89,Average Sleeper
5553957443,2016-04-05,1,447,470,0.95,Restorative Sleeper
5553957443,2016-04-13,2,455,488,0.93,Restorative Sleeper
5553957443,2016-04-14,1,357,418,0.85,Average Sleeper
5553957443,2016-04-15,1,377,409,0.92,Restorative Sleeper
5553957443,2016-04-16,2,651,686,0.95,Restorative Sleeper
5553957443,2016-04-17,1,350,402,0.87,Average Sleeper
5553957443,2016-04-18,2,520,541,0.96,Restorative Sleeper
5553957443,2016-04-19,1,357,410,0.87,Average Sleeper
5553957443,2016-04-20,1,658,678,0.97,Restorative Sleeper
5553957443,2016-04-21,1,399,431,0.93,Restorative Sleeper
5553957443,2016-04-22,1,322,353,0.91,Restorative Sleeper
5553957443,2016-04-23,2,631,725,0.87,Average Sleeper
5553957443,2016-04-24,2,553,640,0.86,Average Sleeper
5553957443,2016-04-25,1,433,468,0.93,Restorative Sleeper
5553957443,2016-04-26,1,412,453,0.91,Restorative Sleeper
5553957443,2016-04-27,1,347,391,0.89,Average Sleeper
5553957443,2016-04-28,1,421,457,0.92,Restorative Sleeper
5553957443,2016-04-29,1,450,495,0.91,Restorative Sleeper
5553957443,2016-04-30,2,775,843,0.92,Restorative Sleeper
5553957443,2016-05-05,1,419,464,0.90,Restorative Sleeper
5553957443,2016-06-05,1,400,434,0.92,Restorative Sleeper
5553957443,2016-07-05,1,442,470,0.94,Restorative Sleeper
5553957443,2016-08-05,1,568,608,0.93,Restorative Sleeper
5553957443,2016-09-05,1,453,494,0.92,Restorative Sleeper
5553957443,2016-10-05,1,418,443,0.94,Restorative Sleeper
5553957443,2016-11-05,1,463,486,0.95,Restorative Sleeper
5553957443,2016-12-04,1,441,464,0.95,Restorative Sleeper
5553957443,2016-12-05,1,438,475,0.92,Restorative Sleeper
5577150313,2016-01-05,1,379,398,0.95,Restorative Sleeper
5577150313,2016-02-05,2,525,553,0.95,Restorative Sleeper
5577150313,2016-03-05,1,508,543,0.94,Restorative Sleeper
5577150313,2016-04-05,1,603,634,0.95,Restorative Sleeper
5577150313,2016-04-13,1,432,458,0.94,Restorative Sleeper
5577150313,2016-04-14,1,477,497,0.96,Restorative Sleeper
5577150313,2016-04-15,1,392,413,0.95,Restorative Sleeper
5577150313,2016-04-16,1,406,445,0.91,Restorative Sleeper
5577150313,2016-04-17,1,549,583,0.94,Restorative Sleeper
5577150313,2016-04-18,1,527,553,0.95,Restorative Sleeper
5577150313,2016-04-19,1,449,465,0.97,Restorative Sleeper
5577150313,2016-04-20,1,447,480,0.93,Restorative Sleeper
5577150313,2016-04-21,1,414,437,0.95,Restorative Sleeper
5577150313,2016-04-22,1,338,366,0.92,Restorative Sleeper
5577150313,2016-04-23,1,384,402,0.96,Restorative Sleeper
5577150313,2016-04-24,1,543,615,0.88,Average Sleeper
5577150313,2016-04-25,1,421,461,0.91,Restorative Sleeper
5577150313,2016-04-26,1,354,377,0.94,Restorative Sleeper
5577150313,2016-04-27,1,424,452,0.94,Restorative Sleeper
5577150313,2016-04-28,1,361,372,0.97,Restorative Sleeper
5577150313,2016-04-29,1,459,485,0.95,Restorative Sleeper
5577150313,2016-04-30,1,412,433,0.95,Restorative Sleeper
5577150313,2016-05-05,1,74,78,0.95,Restorative Sleeper
5577150313,2016-10-05,1,504,562,0.90,Average Sleeper
5577150313,2016-11-05,1,431,476,0.91,Restorative Sleeper
5577150313,2016-12-04,1,419,438,0.96,Restorative Sleeper
6117666160,2016-01-05,1,507,575,0.88,Average Sleeper
6117666160,2016-04-16,1,380,398,0.95,Restorative Sleeper
6117666160,2016-04-17,2,336,350,0.96,Restorative Sleeper
6117666160,2016-04-18,2,493,510,0.97,Restorative Sleeper
6117666160,2016-04-19,1,465,492,0.95,Restorative Sleeper
6117666160,2016-04-20,1,474,502,0.94,Restorative Sleeper
6117666160,2016-04-21,1,508,550,0.92,Restorative Sleeper
6117666160,2016-04-22,1,480,546,0.88,Average Sleeper
6117666160,2016-04-23,1,492,539,0.91,Restorative Sleeper
6117666160,2016-04-24,1,353,367,0.96,Restorative Sleeper
6117666160,2016-04-27,1,542,557,0.97,Restorative Sleeper
6117666160,2016-04-28,1,393,416,0.94,Restorative Sleeper
6117666160,2016-04-29,1,600,636,0.94,Restorative Sleeper
6117666160,2016-05-05,1,392,415,0.94,Restorative Sleeper
6117666160,2016-06-05,2,658,698,0.94,Restorative Sleeper
6117666160,2016-07-05,2,498,507,0.98,Restorative Sleeper
6117666160,2016-08-05,1,555,603,0.92,Restorative Sleeper
6117666160,2016-09-05,1,492,522,0.94,Restorative Sleeper
6775888955,2016-04-13,1,235,260,0.90,Restorative Sleeper
6775888955,2016-04-14,1,423,441,0.96,Restorative Sleeper
6775888955,2016-04-15,1,391,406,0.96,Restorative Sleeper
6962181067,2016-01-05,1,411,426,0.96,Restorative Sleeper
6962181067,2016-02-05,1,466,482,0.97,Restorative Sleeper
6962181067,2016-03-05,1,394,418,0.94,Restorative Sleeper
6962181067,2016-04-05,1,442,455,0.97,Restorative Sleeper
6962181067,2016-04-13,3,630,679,0.93,Restorative Sleeper
6962181067,2016-04-14,2,508,535,0.95,Restorative Sleeper
6962181067,2016-04-15,1,370,386,0.96,Restorative Sleeper
6962181067,2016-04-16,1,357,366,0.98,Restorative Sleeper
6962181067,2016-04-17,1,427,446,0.96,Restorative Sleeper
6962181067,2016-04-18,1,442,458,0.97,Restorative Sleeper
6962181067,2016-04-19,1,476,535,0.89,Average Sleeper
6962181067,2016-04-20,1,418,424,0.99,Restorative Sleeper
6962181067,2016-04-21,1,451,457,0.99,Restorative Sleeper
6962181067,2016-04-22,1,425,435,0.98,Restorative Sleeper
6962181067,2016-04-23,1,528,546,0.97,Restorative Sleeper
6962181067,2016-04-24,1,511,514,0.99,Restorative Sleeper
6962181067,2016-04-25,1,400,415,0.96,Restorative Sleeper
6962181067,2016-04-26,1,441,446,0.99,Restorative Sleeper
6962181067,2016-04-27,1,455,467,0.97,Restorative Sleeper
6962181067,2016-04-28,1,440,453,0.97,Restorative Sleeper
6962181067,2016-04-29,1,433,447,0.97,Restorative Sleeper
6962181067,2016-04-30,1,422,424,1.00,Restorative Sleeper
6962181067,2016-05-05,1,467,491,0.95,Restorative Sleeper
6962181067,2016-06-05,1,443,462,0.96,Restorative Sleeper
6962181067,2016-07-05,1,298,334,0.89,Average Sleeper
6962181067,2016-08-05,1,541,569,0.95,Restorative Sleeper
6962181067,2016-09-05,1,489,497,0.98,Restorative Sleeper
6962181067,2016-10-05,1,469,481,0.98,Restorative Sleeper
6962181067,2016-11-05,1,452,480,0.94,Restorative Sleeper
6962181067,2016-12-04,1,366,387,0.95,Restorative Sleeper
6962181067,2016-12-05,1,516,535,0.96,Restorative Sleeper
7007744171,2016-01-05,1,58,61,0.95,Restorative Sleeper
7007744171,2016-04-16,1,79,82,0.96,Restorative Sleeper
7086361926,2016-01-05,1,388,407,0.95,Restorative Sleeper
7086361926,2016-02-05,1,440,459,0.96,Restorative Sleeper
7086361926,2016-03-05,1,456,461,0.99,Restorative Sleeper
7086361926,2016-04-05,1,420,436,0.96,Restorative Sleeper
7086361926,2016-04-13,1,451,465,0.97,Restorative Sleeper
7086361926,2016-04-14,1,472,476,0.99,Restorative Sleeper
7086361926,2016-04-15,1,377,386,0.98,Restorative Sleeper
7086361926,2016-04-19,1,472,483,0.98,Restorative Sleeper
7086361926,2016-04-20,1,492,502,0.98,Restorative Sleeper
7086361926,2016-04-21,1,390,411,0.95,Restorative Sleeper
7086361926,2016-04-22,1,428,448,0.96,Restorative Sleeper
7086361926,2016-04-24,1,681,704,0.97,Restorative Sleeper
7086361926,2016-04-25,1,446,447,1.00,Restorative Sleeper
7086361926,2016-04-26,1,485,500,0.97,Restorative Sleeper
7086361926,2016-04-27,1,469,479,0.98,Restorative Sleeper
7086361926,2016-04-28,1,354,367,0.96,Restorative Sleeper
7086361926,2016-04-30,1,485,489,0.99,Restorative Sleeper
7086361926,2016-06-05,1,322,333,0.97,Restorative Sleeper
7086361926,2016-07-05,1,530,548,0.97,Restorative Sleeper
7086361926,2016-08-05,1,481,510,0.94,Restorative Sleeper
7086361926,2016-09-05,1,427,438,0.97,Restorative Sleeper
7086361926,2016-11-05,1,451,463,0.97,Restorative Sleeper
7086361926,2016-12-04,1,514,525,0.98,Restorative Sleeper
7086361926,2016-12-05,1,444,457,0.97,Restorative Sleeper
8053475328,2016-04-20,1,486,493,0.99,Restorative Sleeper
8053475328,2016-04-23,1,331,337,0.98,Restorative Sleeper
8053475328,2016-07-05,1,74,75,0.99,Restorative Sleeper
8378563200,2016-01-05,1,475,539,0.88,Average Sleeper
8378563200,2016-02-05,1,351,385,0.91,Restorative Sleeper
8378563200,2016-03-05,1,405,429,0.94,Restorative Sleeper
8378563200,2016-04-05,1,441,477,0.92,Restorative Sleeper
8378563200,2016-04-13,2,447,487,0.92,Restorative Sleeper
8378563200,2016-04-14,1,424,455,0.93,Restorative Sleeper
8378563200,2016-04-15,1,513,533,0.96,Restorative Sleeper
8378563200,2016-04-16,2,611,689,0.89,Average Sleeper
8378563200,2016-04-17,2,525,591,0.89,Average Sleeper
8378563200,2016-04-18,1,398,451,0.88,Average Sleeper
8378563200,2016-04-19,1,387,421,0.92,Restorative Sleeper
8378563200,2016-04-20,1,381,409,0.93,Restorative Sleeper
8378563200,2016-04-21,1,396,417,0.95,Restorative Sleeper
8378563200,2016-04-22,1,441,469,0.94,Restorative Sleeper
8378563200,2016-04-23,1,565,591,0.96,Restorative Sleeper
8378563200,2016-04-24,1,458,492,0.93,Restorative Sleeper
8378563200,2016-04-25,1,388,402,0.97,Restorative Sleeper
8378563200,2016-04-26,1,550,584,0.94,Restorative Sleeper
8378563200,2016-04-27,1,531,600,0.89,Average Sleeper
8378563200,2016-04-28,1,506,556,0.91,Restorative Sleeper
8378563200,2016-04-29,1,527,562,0.94,Restorative Sleeper
8378563200,2016-04-30,1,468,555,0.84,Average Sleeper
8378563200,2016-05-05,1,381,417,0.91,Restorative Sleeper
8378563200,2016-06-05,1,323,355,0.91,Restorative Sleeper
8378563200,2016-07-05,2,459,513,0.89,Average Sleeper
8378563200,2016-08-05,1,545,606,0.90,Average Sleeper
8378563200,2016-09-05,1,359,399,0.90,Average Sleeper
8378563200,2016-10-05,1,342,391,0.87,Average Sleeper
8378563200,2016-11-05,1,368,387,0.95,Restorative Sleeper
8378563200,2016-12-04,1,338,356,0.95,Restorative Sleeper
8378563200,2016-12-05,1,496,546,0.91,Restorative Sleeper
8792009665,2016-01-05,1,503,527,0.95,Restorative Sleeper
8792009665,2016-02-05,1,415,423,0.98,Restorative Sleeper
8792009665,2016-03-05,1,516,545,0.95,Restorative Sleeper
8792009665,2016-04-05,1,439,463,0.95,Restorative Sleeper
8792009665,2016-04-13,1,531,552,0.96,Restorative Sleeper
8792009665,2016-04-14,1,486,503,0.97,Restorative Sleeper
8792009665,2016-04-15,1,363,377,0.96,Restorative Sleeper
8792009665,2016-04-20,1,528,547,0.97,Restorative Sleeper
8792009665,2016-04-22,1,391,407,0.96,Restorative Sleeper
8792009665,2016-04-23,1,339,360,0.94,Restorative Sleeper
8792009665,2016-04-27,1,423,428,0.99,Restorative Sleeper
8792009665,2016-04-28,1,402,416,0.97,Restorative Sleeper
8792009665,2016-04-29,1,398,406,0.98,Restorative Sleeper
8792009665,2016-04-30,1,343,360,0.95,Restorative Sleeper
8792009665,2016-12-04,1,458,493,0.93,Restorative Sleeper
